song_id,song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_popularity
6MWfLm5mekBlDaWUzUJvhU,Thinking About You,0.788,0.604,1,-5.157,1,0.0372,0.0383,0,0.0896,0.16,126.965,236773,4,29
4o4sj7dVrT51NKMyeG8T5y,Hot2Touch,0.753,0.717,1,-5.289,0,0.0407,0.00076,3.19e-05,0.165,0.859,121.992,160826,4,36
54uyFEMcG3wnZ1JSRS3QtI,Truth or Dare,0.715,0.581,6,-4.811,1,0.0384,0.318,0,0.125,0.378,97.019,150619,4,38
5qmR4IEKBUpgPa14pGuWuS,Row The Body (feat. French Montana),0.701,0.695,11,-5.653,0,0.0628,0.172,0,0.238,0.624,96.033,237500,4,41
2vlVGelTcX3F7lythTb0Bh,Get Loose,0.737,0.667,9,-4.902,0,0.0583,0.0864,0,0.133,0.658,149.04,157884,4,44
7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4,85
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.115,0.477,122.017,257840,4,75
2aAyDqzwEeVIigSMFM1tNS,Tequila - R3HAB Remix,0.578,0.862,8,-3.059,0,0.0405,0.0119,1.79e-05,0.0744,0.547,100.049,157425,4,59
6LtrSXoBzbTF3SxcJb1Fnm,Somebody To Love,0.719,0.84,5,-5.235,1,0.0257,0.00241,0,0.228,0.636,129.974,220920,4,48
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,222640,4,82
2TfSHkHiFO4gRztVIkggkE,"Sugar, We're Goin Down",0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,229093,4,79
43QG9Yf08wxD0QFN4HYFvy,Make You Feel It,0.43,0.392,4,-8.757,0,0.0455,0.123,0.019,0.0696,0.127,119.81,194482,4,24
0E8WJOFs2eWD67USh7C6Qd,Love No More,0.766,0.674,0,-6.245,1,0.0538,0.0217,5.87e-05,0.258,0.214,121.012,168636,4,60
3fVIFpU3VdSEoR82DaYe79,Hey Julie! (feat. Lil Yachty),0.803,0.499,11,-5.932,1,0.306,0.0363,3.46e-06,0.129,0.749,161.042,156637,4,64
62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),0.67,0.855,0,-3.035,0,0.0499,0.0124,0,0.335,0.648,120.05,227280,4,76
20ORwCJusz4KS2PbTPVNKo,Leavin',0.687,0.71,9,-5.84,1,0.0522,0.0283,3.71e-06,0.0689,0.886,79.235,216880,4,65
7ksYJ95P5vP87A0GH34CIk,Ridin' Solo,0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,215747,4,58
0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II",0.67,0.668,3,-4.306,0,0.0422,0.536,0,0.133,0.608,88.033,179053,4,79
36fRbuu9QkKVDR1j7jTI2U,Good Nights (feat. Mascolo),0.849,0.483,6,-7.114,0,0.291,0.443,0.000141,0.0786,0.282,101.015,165618,4,47
5Gj1wG8b12VQdEd3hUuSwo,Freedom,0.715,0.635,7,-6.591,1,0.0791,0.127,0,0.0862,0.39,112.887,198635,4,75
31k41EAntOsjbRBcAASfiL,Malibu,0.629,0.828,2,-4.766,1,0.173,0.0249,0.000221,0.206,0.512,120.018,191809,4,63
6tVrmsbI5HVDgOlFSTrQjB,Lucky Strike,0.674,0.74,11,-4.517,0,0.0419,0.000637,0,0.111,0.431,143.998,185280,4,54
4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,197867,4,81
62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547,4,85
0mjAU3yKR1QnXnHtjGJqTM,Rescue Me,0.759,0.605,7,-7.737,1,0.0433,0.156,0,0.694,0.64,121.049,158900,4,78
7y7w4tl4MaRC2UMEj1mPtr,Come & Go (with Marshmello),0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485,4,19
0b6wdul3A5sQNpIOv03OxP,Ocean Drive,0.686,0.718,8,-5.054,0,0.0431,0.00637,0.000703,0.119,0.557,115.026,206320,4,73
4ZJPwET9Jrgpkqi4Vo3Yg8,Bad Bitch (feat. Ty Dolla $ign),0.656,0.615,5,-6.252,1,0.0539,0.0283,0,0.234,0.366,139.91,197253,4,66
7jXQUrVhEpXdymfFWNDnQW,BED,0.663,0.783,6,-4.585,1,0.0393,0.0134,0.00179,0.325,0.622,123.986,178088,4,66
40R5dXDbS3mLG9ng7COXtt,Jalebi Baby,0.678,0.884,2,-6.936,1,0.0379,0.0155,0.000124,0.141,0.773,93.04,189691,4,74
